0,class,student_id,English,Math,Math_adjusted,math_diff,output
52,5,2,39.0,93.0,96.4,2.0,"English: 39.0, Math: 93.0"
51,5,1,35.0,91.0,95.4,9.0,"English: 35.0, Math: 91.0"
50,5,0,13.0,82.0,90.6,5.0,"English: 13.0, Math: 82.0"
59,5,9,59.0,77.0,87.7,2.0,"English: 59.0, Math: 77.0"
54,5,4,77.0,75.0,86.6,7.0,"English: 77.0, Math: 75.0"
58,5,8,80.0,68.0,82.5,4.0,"English: 80.0, Math: 68.0"
57,5,7,52.0,64.0,80.0,28.0,"English: 52.0, Math: 64.0"
56,5,6,26.0,36.0,60.0,8.0,"English: 26.0, Math: 36.0"
55,5,5,32.0,28.0,52.9,5.0,"English: 32.0, Math: 28.0"
53,5,3,39.0,23.0,48.0,0.0,"English: 39.0, Math: 23.0"
68,6,8,26.0,96.0,98.0,6.0,"English: 26.0, Math: 96.0"
65,6,5,26.0,90.0,94.9,14.0,"English: 26.0, Math: 90.0"
64,6,4,99.0,76.0,87.2,16.0,"English: 99.0, Math: 76.0"
61,6,1,57.0,60.0,77.5,8.0,"English: 57.0, Math: 60.0"
66,6,6,87.0,52.0,72.1,2.0,"English: 87.0, Math: 52.0"
67,6,7,77.0,50.0,70.7,18.0,"English: 77.0, Math: 50.0"
60,6,0,1.0,32.0,56.6,11.0,"English: 1.0, Math: 32.0"
69,6,9,61.0,21.0,45.8,4.0,"English: 61.0, Math: 21.0"
63,6,3,56.0,17.0,41.2,2.0,"English: 56.0, Math: 17.0"
62,6,2,68.0,15.0,38.7,0.0,"English: 68.0, Math: 15.0"
72,7,2,77.0,71.0,84.3,4.0,"English: 77.0, Math: 71.0"
71,7,1,51.0,67.0,81.9,13.0,"English: 51.0, Math: 67.0"
70,7,0,97.0,54.0,73.5,4.0,"English: 97.0, Math: 54.0"
77,7,7,47.0,50.0,70.7,9.0,"English: 47.0, Math: 50.0"
74,7,4,70.0,41.0,64.0,13.0,"English: 70.0, Math: 41.0"
76,7,6,15.0,28.0,52.9,10.0,"English: 15.0, Math: 28.0"
75,7,5,92.0,18.0,42.4,1.0,"English: 92.0, Math: 18.0"
73,7,3,22.0,17.0,41.2,1.0,"English: 22.0, Math: 17.0"
79,7,9,90.0,16.0,40.0,7.0,"English: 90.0, Math: 16.0"
78,7,8,80.0,9.0,30.0,0.0,"English: 80.0, Math: 9.0"
88,8,8,7.0,76.0,87.2,1.0,"English: 7.0, Math: 76.0"
82,8,2,7.0,75.0,86.6,4.0,"English: 7.0, Math: 75.0"
86,8,6,63.0,71.0,84.3,8.0,"English: 63.0, Math: 71.0"
87,8,7,51.0,63.0,79.4,2.0,"English: 51.0, Math: 63.0"
83,8,3,11.0,61.0,78.1,0.0,"English: 11.0, Math: 61.0"
89,8,9,68.0,61.0,78.1,4.0,"English: 68.0, Math: 61.0"
80,8,0,96.0,57.0,75.5,9.0,"English: 96.0, Math: 57.0"
85,8,5,19.0,48.0,69.3,35.0,"English: 19.0, Math: 48.0"
84,8,4,17.0,13.0,36.1,8.0,"English: 17.0, Math: 13.0"
81,8,1,12.0,5.0,22.4,0.0,"English: 12.0, Math: 5.0"
97,9,7,78.0,93.0,96.4,38.0,"English: 78.0, Math: 93.0"
90,9,0,13.0,55.0,74.2,1.0,"English: 13.0, Math: 55.0"
98,9,8,60.0,54.0,73.5,0.0,"English: 60.0, Math: 54.0"
99,9,9,18.0,54.0,73.5,5.0,"English: 18.0, Math: 54.0"
95,9,5,41.0,49.0,70.0,3.0,"English: 41.0, Math: 49.0"
94,9,4,22.0,46.0,67.8,10.0,"English: 22.0, Math: 46.0"
92,9,2,27.0,36.0,60.0,5.0,"English: 27.0, Math: 36.0"
91,9,1,96.0,31.0,55.7,5.0,"English: 96.0, Math: 31.0"
93,9,3,77.0,26.0,51.0,8.0,"English: 77.0, Math: 26.0"
96,9,6,15.0,18.0,42.4,0.0,"English: 15.0, Math: 18.0"
